1.91,212.98,59.78
0.89,223.56,39.97
1.17,192.18,54.02
2.09,206.35,58.41
0.80,224.68,39.93
2.79,190.73,54.82
1.98,213.98,61.86
0.91,224.99,39.90
1.25,187.11,55.98
1.72,206.08,59.67
1.11,224.42,39.90
2.70,192.12,55.20
1.60,213.49,58.48
1.20,223.07,39.93
1.36,190.80,54.02
1.75,207.27,61.90
1.09,221.18,39.98
2.58,187.09,54.79
2.07,211.71,59.57
0.89,219.08,40.03
1.49,192.06,55.98
2.26,209.48,58.55
0.80,217.15,40.07
2.44,190.88,55.22
2.18,209.29,61.93
0.90,215.72,40.10
1.64,187.07,54.03
1.90,211.88,59.46
1.10,215.04,40.10
2.28,192.00,54.77
1.71,207.13,58.63
1.20,215.23,40.07
1.80,190.96,55.97
1.78,213.58,61.95
1.10,216.26,40.03
2.12,187.05,55.25
2.06,206.05,59.36
0.90,217.95,39.97
1.96,191.94,54.03
2.27,213.95,58.70
0.80,220.00,39.93
1.97,191.03,54.74
2.21,206.43,61.97
0.90,222.05,39.90
2.11,187.04,55.96
1.92,212.85,59.26
1.10,223.74,39.90
1.82,191.88,55.27
1.66,208.15,58.79
1.20,224.77,39.93
2.25,191.11,54.04
1.66,210.68,61.99
1.10,224.96,39.97
1.69,187.03,54.71
1.88,210.55,59.16
0.90,224.28,40.02
2.37,191.82,55.96
2.10,208.26,58.87
0.80,222.85,40.07
1.59,191.18,55.30
2.07,212.75,62.00
0.89,220.92,40.10
2.46,187.02,54.05
1.78,206.49,59.07
1.09,218.82,40.10
1.51,191.75,54.69
1.47,213.93,58.96
1.20,216.93,40.07
2.52,191.26,55.95
1.40,206.03,62.00
1.11,215.58,40.03
1.47,187.01,55.32
1.58,213.64,58.97
0.91,215.01,39.98
2.54,191.69,54.06
1.80,207.04,59.06
0.80,215.32,39.93
1.46,191.33,54.66
1.81,211.99,62.00
0.89,216.44,39.90
2.53,187.00,55.94
1.55,209.16,58.88
1.09,218.20,39.90
1.48,191.62,55.35
1.22,209.61,59.15
1.20,220.27,39.93
2.49,191.40,54.07
1.09,211.59,61.99
1.11,222.29,39.97
1.54,187.00,54.64
1.23,207.37,58.80
0.91,223.91,40.02
2.42,191.55,55.93
1.47,213.43,59.25
0.80,224.84,40.07
1.63,191.47,55.37
1.54,206.11,61.98
0.89,224.93,40.10
2.31,187.00,54.08
1.33,213.99,58.71
1.08,224.14,40.10
1.75,191.48,54.61
1.00,206.30,59.35
1.20,222.63,40.07
2.19,191.54,55.92
0.83,213.06,61.96
1.17,189.22,54.02
2.27,208.04,60.35
1.76,213.80,61.97
1.91,210.49,60.96
1.93,206.01,58.67
1.42,211.05,58.15
1.20,219.52,40.07
1.04,216.49,39.99
2.67,188.01,55.24
1.80,207.13,61.66
0.85,215.34,40.04
1.28,192.93,55.97
1.56,211.88,58.19
0.81,215.01,40.08
2.77,189.11,54.78
1.42,209.29,60.20
0.96,215.55,40.10
1.19,187.95,54.02
1.56,209.48,61.60
1.15,216.88,40.09
2.84,192.91,55.21
1.88,211.71,58.15
1.19,218.76,40.06
1.14,189.18,55.98
2.12,207.27,60.31
1.04,220.85,40.01
2.88,187.89,54.80
2.09,213.49,61.54
0.85,222.80,39.96
1.11,192.89,54.02
1.84,206.08,58.11
0.81,224.25,39.92
2.88,189.26,55.19
1.65,213.98,60.41
0.95,224.96,39.90
1.13,187.83,55.98
1.71,206.35,61.47
1.15,224.79,39.91
2.85,192.87,54.83
2.00,212.98,58.08
1.19,223.78,39.94
1.18,189.34,54.01
2.25,207.98,60.52
1.05,222.11,39.99
2.79,187.78,55.16
2.25,210.87,61.39
0.86,220.06,40.04
1.26,192.85,55.99
2.00,210.36,58.05
0.81,218.01,40.08
2.69,189.42,54.85
1.74,208.44,60.62
0.95,216.30,40.10
1.37,187.72,54.01
1.73,212.61,61.31
1.14,215.25,40.09
2.57,192.82,55.13
1.96,206.59,58.03
1.19,215.03,40.06
1.50,189.50,55.99
2.21,213.89,60.72
1.05,215.68,40.01
2.43,187.67,54.88
2.23,206.01,61.23
0.86,217.10,39.96
1.64,192.79,54.01
1.98,213.71,58.01
0.81,219.02,39.92
2.28,189.58,55.11
1.68,206.92,60.82
0.94,221.12,39.90
1.80,187.62,56.00
1.58,212.16,61.14
1.14,223.02,39.91
2.12,192.76,54.91
1.75,208.97,58.00
1.19,224.39,39.94
1.95,189.66,54.00
2.00,209.80,60.91
1.06,224.98,39.99
1.97,187.57,55.08
2.05,211.41,61.05
0.86,224.71,40.04
2.10,192.73,56.00
1.82,207.51,58.00
0.80,223.60,40.08
1.83,189.74,54.93
1.48,213.32,61.01
0.94,221.86,40.10
2.23,187.53,54.00
1.32,206.16,60.96
1.13,219.80,40.09
1.71,192.70,55.05
1.43,214.00,58.00
1.20,217.77,40.06
2.34,189.82,56.00
1.67,206.23,61.10
1.06,216.13,40.02
1.61,187.48,54.96
1.77,213.18,60.87
0.87,215.17,39.96
2.43,192.66,54.00
1.58,207.71,58.01
0.80,215.06,39.92
1.54,189.90,55.03
1.24,211.18,61.19
0.93,215.82,39.90
2.48,187.44,56.00
1.02,210.04,60.77
1.13,217.32,39.91
1.50,192.62,54.99
1.10,208.74,58.02
1.20,219.28,39.94
2.50,189.98,54.00
1.34,212.36,61.27
1.07,221.37,39.98
1.50,187.40,55.00
1.49,206.77,60.67
